Data,Hora,Latitude,Longitude
14/04/2023,13:05:05,-22.980527,-43.235363
14/04/2023,13:05:15,-22.980431,-43.235256
14/04/2023,13:05:25,-22.980356,-43.235205
14/04/2023,13:05:35,-22.980304,-43.235111
14/04/2023,13:05:45,-22.980216,-43.235036
14/04/2023,13:05:55,-22.980138,-43.23497
14/04/2023,13:06:05,-22.980019,-43.234874
14/04/2023,13:06:15,-22.979926,-43.234747
14/04/2023,13:06:25,-22.979846,-43.234639
14/04/2023,13:06:35,-22.979715,-43.234627
14/04/2023,13:06:45,-22.979631,-43.234623
14/04/2023,13:06:55,-22.979512,-43.234595
14/04/2023,13:07:05,-22.979419,-43.234626
14/04/2023,13:07:15,-22.979318,-43.234605
14/04/2023,13:07:25,-22.979213,-43.234582
14/04/2023,13:07:35,-22.979103,-43.234573
14/04/2023,13:07:45,-22.979002,-43.234564
14/04/2023,13:07:55,-22.978881,-43.234535
14/04/2023,13:08:05,-22.978777,-43.234499
14/04/2023,13:08:15,-22.978694,-43.234411
14/04/2023,13:08:25,-22.978602,-43.234303
14/04/2023,13:08:35,-22.978575,-43.234124
14/04/2023,13:08:45,-22.978527,-43.234039
14/04/2023,13:08:55,-22.97847,-43.233925
14/04/2023,13:09:05,-22.978396,-43.233798
14/04/2023,13:09:15,-22.978326,-43.233736
14/04/2023,13:09:25,-22.978278,-43.23365
14/04/2023,13:09:37,-22.978257,-43.233598
14/04/2023,13:09:47,-22.978237,-43.23342
14/04/2023,13:09:57,-22.978198,-43.233306
14/04/2023,13:10:07,-22.978196,-43.233209
14/04/2023,13:10:23,-22.978187,-43.233105
14/04/2023,13:10:33,-22.978115,-43.232934
14/04/2023,13:10:43,-22.978097,-43.232869
14/04/2023,13:10:53,-22.978041,-43.232804
14/04/2023,13:11:03,-22.977948,-43.232698
14/04/2023,13:11:13,-22.977913,-43.232596
14/04/2023,13:11:24,-22.977953,-43.232494
14/04/2023,13:11:34,-22.978058,-43.232395
14/04/2023,13:11:44,-22.978156,-43.23234
14/04/2023,13:11:54,-22.978122,-43.232238
14/04/2023,13:12:04,-22.978051,-43.23222
14/04/2023,13:12:14,-22.977999,-43.23211
14/04/2023,13:12:24,-22.977947,-43.231986
14/04/2023,13:12:34,-22.977927,-43.231939
14/04/2023,13:12:44,-22.977935,-43.231946
14/04/2023,13:12:55,-22.977946,-43.2319
14/04/2023,13:13:07,-22.97799,-43.231792
14/04/2023,13:13:17,-22.978022,-43.231702
14/04/2023,13:13:27,-22.97804,-43.231612
14/04/2023,13:13:37,-22.978042,-43.231599
14/04/2023,13:13:47,-22.978034,-43.231591
