Data/Hora,"Lat, Long",Latitude,Longitude
19/04/2023 10:49:53,"-22.977974,-43.231800",-22.977974,-43.2318
19/04/2023 10:50:03,"-22.977985,-43.231785",-22.977985,-43.231785
19/04/2023 10:50:13,"-22.977957,-43.231768",-22.977957,-43.231768
19/04/2023 10:50:23,"-22.977988,-43.231792",-22.977988,-43.231792
19/04/2023 10:50:33,"-22.977962,-43.231770",-22.977962,-43.23177
19/04/2023 10:50:43,"-22.977963,-43.231792",-22.977963,-43.231792
19/04/2023 10:50:53,"-22.977962,-43.231790",-22.977962,-43.23179
19/04/2023 10:51:04,"-22.977967,-43.231788",-22.977967,-43.231788
19/04/2023 10:51:14,"-22.977993,-43.231807",-22.977993,-43.231807
19/04/2023 10:51:24,"-22.977973,-43.231790",-22.977973,-43.23179
19/04/2023 10:51:34,"-22.977974,-43.231788",-22.977974,-43.231788
19/04/2023 10:51:44,"-22.977975,-43.231790",-22.977975,-43.23179
19/04/2023 10:51:54,"-22.977978,-43.231799",-22.977978,-43.231799
19/04/2023 10:52:04,"-22.977974,-43.231789",-22.977974,-43.231789
19/04/2023 10:52:14,"-22.977979,-43.231790",-22.977979,-43.23179
19/04/2023 10:52:24,"-22.977977,-43.231797",-22.977977,-43.231797
19/04/2023 10:52:34,"-22.977995,-43.231799",-22.977995,-43.231799
19/04/2023 10:52:44,"-22.977983,-43.231795",-22.977983,-43.231795
19/04/2023 10:52:54,"-22.977992,-43.231794",-22.977992,-43.231794
19/04/2023 10:53:04,"-22.977993,-43.231807",-22.977993,-43.231807
19/04/2023 10:53:14,"-22.977980,-43.231794",-22.97798,-43.231794
19/04/2023 10:53:24,"-22.977986,-43.231797",-22.977986,-43.231797
19/04/2023 10:53:34,"-22.977981,-43.231796",-22.977981,-43.231796
19/04/2023 10:53:44,"-22.977989,-43.231797",-22.977989,-43.231797
19/04/2023 10:53:54,"-22.977983,-43.231791",-22.977983,-43.231791
19/04/2023 10:54:04,"-22.977983,-43.231790",-22.977983,-43.23179
19/04/2023 10:54:14,"-22.977982,-43.231804",-22.977982,-43.231804
19/04/2023 10:54:24,"-22.977982,-43.231797",-22.977982,-43.231797
19/04/2023 10:54:34,"-22.977986,-43.231794",-22.977986,-43.231794
19/04/2023 10:54:44,"-22.977984,-43.231798",-22.977984,-43.231798
19/04/2023 10:54:54,"-22.977978,-43.231793",-22.977978,-43.231793
19/04/2023 10:55:04,"-22.977983,-43.231803",-22.977983,-43.231803
19/04/2023 10:55:14,"-22.977989,-43.231793",-22.977989,-43.231793
19/04/2023 10:55:24,"-22.977905,-43.231800",-22.977905,-43.2318
19/04/2023 10:55:35,"-22.977981,-43.231791",-22.977981,-43.231791
19/04/2023 10:55:44,"-22.977985,-43.231786",-22.977985,-43.231786
19/04/2023 10:55:55,"-22.977979,-43.231785",-22.977979,-43.231785
19/04/2023 10:56:05,"-22.977975,-43.231786",-22.977975,-43.231786
19/04/2023 10:56:15,"-22.977983,-43.231789",-22.977983,-43.231789
19/04/2023 10:56:25,"-22.977978,-43.231784",-22.977978,-43.231784
19/04/2023 10:56:35,"-22.977959,-43.231777",-22.977959,-43.231777
19/04/2023 10:56:45,"-22.977977,-43.231782",-22.977977,-43.231782
19/04/2023 10:56:55,"-22.977984,-43.231792",-22.977984,-43.231792
19/04/2023 10:57:05,"-22.977960,-43.231785",-22.97796,-43.231785
19/04/2023 10:57:15,"-22.977982,-43.231778",-22.977982,-43.231778
19/04/2023 10:57:25,"-22.977972,-43.231787",-22.977972,-43.231787
19/04/2023 10:57:35,"-22.977972,-43.231788",-22.977972,-43.231788
19/04/2023 10:57:45,"-22.977971,-43.231789",-22.977971,-43.231789
19/04/2023 10:57:55,"-22.977971,-43.231788",-22.977971,-43.231788
19/04/2023 10:58:05,"-22.977932,-43.231709",-22.977932,-43.231709
19/04/2023 10:58:15,"-22.977993,-43.231806",-22.977993,-43.231806
19/04/2023 10:58:25,"-22.977984,-43.231798",-22.977984,-43.231798
19/04/2023 10:58:35,"-22.977980,-43.231789",-22.97798,-43.231789
19/04/2023 10:58:45,"-22.977978,-43.231792",-22.977978,-43.231792
19/04/2023 10:58:55,"-22.977982,-43.231798",-22.977982,-43.231798
19/04/2023 10:59:05,"-22.977979,-43.231796",-22.977979,-43.231796
19/04/2023 10:59:15,"-22.977977,-43.231791",-22.977977,-43.231791
19/04/2023 10:59:25,"-22.977977,-43.231796",-22.977977,-43.231796
19/04/2023 10:59:35,"-22.977991,-43.231794",-22.977991,-43.231794
19/04/2023 10:59:45,"-22.977977,-43.231792",-22.977977,-43.231792
19/04/2023 10:59:55,"-22.977978,-43.231792",-22.977978,-43.231792
19/04/2023 11:00:05,"-22.977978,-43.231791",-22.977978,-43.231791
19/04/2023 11:00:15,"-22.977974,-43.231796",-22.977974,-43.231796
19/04/2023 11:00:25,"-22.977980,-43.231797",-22.97798,-43.231797
19/04/2023 11:00:35,"-22.977975,-43.231788",-22.977975,-43.231788
19/04/2023 11:00:45,"-22.977974,-43.231794",-22.977974,-43.231794
19/04/2023 11:00:55,"-22.977959,-43.231793",-22.977959,-43.231793
19/04/2023 11:01:05,"-22.977963,-43.231790",-22.977963,-43.23179
19/04/2023 11:01:15,"-22.977976,-43.231803",-22.977976,-43.231803
19/04/2023 11:01:25,"-22.977976,-43.231784",-22.977976,-43.231784
19/04/2023 11:01:35,"-22.977957,-43.231782",-22.977957,-43.231782
19/04/2023 11:01:45,"-22.977960,-43.231793",-22.97796,-43.231793
19/04/2023 11:01:55,"-22.977963,-43.231794",-22.977963,-43.231794
19/04/2023 11:02:05,"-22.977961,-43.231785",-22.977961,-43.231785
19/04/2023 11:02:15,"-22.977961,-43.231787",-22.977961,-43.231787
19/04/2023 11:02:25,"-22.977966,-43.231788",-22.977966,-43.231788
19/04/2023 11:02:35,"-22.977972,-43.231788",-22.977972,-43.231788
19/04/2023 11:02:45,"-22.977959,-43.231791",-22.977959,-43.231791
19/04/2023 11:02:55,"-22.977966,-43.231789",-22.977966,-43.231789
19/04/2023 11:03:05,"-22.977976,-43.231786",-22.977976,-43.231786
19/04/2023 11:03:15,"-22.977965,-43.231790",-22.977965,-43.23179
19/04/2023 11:03:26,"-22.977956,-43.231789",-22.977956,-43.231789
19/04/2023 11:03:36,"-22.977971,-43.231799",-22.977971,-43.231799
19/04/2023 11:03:45,"-22.977968,-43.231791",-22.977968,-43.231791
19/04/2023 11:03:56,"-22.977982,-43.231800",-22.977982,-43.2318
19/04/2023 11:04:06,"-22.977981,-43.231794",-22.977981,-43.231794
19/04/2023 11:04:16,"-22.977996,-43.231803",-22.977996,-43.231803
19/04/2023 11:04:26,"-22.977981,-43.231806",-22.977981,-43.231806
19/04/2023 11:04:36,"-22.977982,-43.231802",-22.977982,-43.231802
19/04/2023 11:04:46,"-22.977987,-43.231804",-22.977987,-43.231804
19/04/2023 11:04:56,"-22.977973,-43.231802",-22.977973,-43.231802
19/04/2023 11:05:09,"-22.977982,-43.231809",-22.977982,-43.231809
19/04/2023 11:05:28,"-22.978007,-43.231817",-22.978007,-43.231817
19/04/2023 11:05:42,"-22.978000,-43.231810",-22.978,-43.23181
19/04/2023 11:05:52,"-22.977994,-43.231830",-22.977994,-43.23183
19/04/2023 11:06:02,"-22.978002,-43.231808",-22.978002,-43.231808
19/04/2023 11:06:12,"-22.978001,-43.231811",-22.978001,-43.231811
19/04/2023 11:06:22,"-22.977998,-43.231805",-22.977998,-43.231805
19/04/2023 11:06:32,"-22.977999,-43.231798",-22.977999,-43.231798
19/04/2023 11:06:42,"-22.978000,-43.231807",-22.978,-43.231807
19/04/2023 11:06:52,"-22.977990,-43.231791",-22.97799,-43.231791
19/04/2023 11:07:02,"-22.977994,-43.231806",-22.977994,-43.231806
19/04/2023 11:07:12,"-22.978010,-43.231812",-22.97801,-43.231812
19/04/2023 11:07:22,"-22.978009,-43.231812",-22.978009,-43.231812
19/04/2023 11:07:32,"-22.977996,-43.231809",-22.977996,-43.231809
19/04/2023 11:07:42,"-22.978002,-43.231819",-22.978002,-43.231819
19/04/2023 11:07:52,"-22.977991,-43.231800",-22.977991,-43.2318
19/04/2023 11:08:02,"-22.977994,-43.231796",-22.977994,-43.231796
19/04/2023 11:08:12,"-22.977994,-43.231804",-22.977994,-43.231804
19/04/2023 11:08:22,"-22.977982,-43.231795",-22.977982,-43.231795
19/04/2023 11:08:32,"-22.977980,-43.231792",-22.97798,-43.231792
19/04/2023 11:08:42,"-22.977987,-43.231804",-22.977987,-43.231804
19/04/2023 11:08:52,"-22.977998,-43.231798",-22.977998,-43.231798
19/04/2023 11:09:02,"-22.977999,-43.231811",-22.977999,-43.231811
19/04/2023 11:09:12,"-22.977988,-43.231801",-22.977988,-43.231801
19/04/2023 11:09:22,"-22.977994,-43.231800",-22.977994,-43.2318
