Data/Hora,"Lat, Long",Latitude,Longitude
27/04/2023 12:49:04,"-22.980856,-43.235396",-22.980856,-43.235396
27/04/2023 12:49:13,"-22.980858,-43.235386",-22.980858,-43.235386
27/04/2023 12:49:36,"-22.980850,-43.235372",-22.98085,-43.235372
27/04/2023 12:49:46,"-22.980850,-43.235396",-22.98085,-43.235396
27/04/2023 12:49:47,"-22.980820,-43.235401",-22.98082,-43.235401
27/04/2023 12:49:47,"-22.980802,-43.235401",-22.980802,-43.235401
27/04/2023 12:49:56,"-22.980587,-43.235363",-22.980587,-43.235363
27/04/2023 12:49:57,"-22.980594,-43.235365",-22.980594,-43.235365
27/04/2023 12:50:07,"-22.980648,-43.235406",-22.980648,-43.235406
27/04/2023 12:50:11,"-22.980623,-43.235411",-22.980623,-43.235411
27/04/2023 12:50:16,"-22.980609,-43.235431",-22.980609,-43.235431
27/04/2023 12:50:16,"-22.980609,-43.235431",-22.980609,-43.235431
27/04/2023 12:50:19,"-22.980627,-43.235454",-22.980627,-43.235454
27/04/2023 12:50:20,"-22.980648,-43.235465",-22.980648,-43.235465
27/04/2023 12:50:21,"-22.980673,-43.235476",-22.980673,-43.235476
27/04/2023 12:50:22,"-22.980694,-43.235489",-22.980694,-43.235489
27/04/2023 12:50:26,"-22.980733,-43.235516",-22.980733,-43.235516
27/04/2023 12:50:33,"-22.980762,-43.235555",-22.980762,-43.235555
27/04/2023 12:50:35,"-22.980767,-43.235574",-22.980767,-43.235574
27/04/2023 12:50:36,"-22.980766,-43.235579",-22.980766,-43.235579
27/04/2023 12:50:39,"-22.980741,-43.235595",-22.980741,-43.235595
27/04/2023 12:50:46,"-22.980728,-43.235595",-22.980728,-43.235595
27/04/2023 12:50:46,"-22.980729,-43.235592",-22.980729,-43.235592
27/04/2023 12:50:56,"-22.980732,-43.235636",-22.980732,-43.235636
27/04/2023 12:50:57,"-22.980736,-43.235622",-22.980736,-43.235622
27/04/2023 12:50:58,"-22.980733,-43.235636",-22.980733,-43.235636
27/04/2023 12:51:06,"-22.980743,-43.235651",-22.980743,-43.235651
27/04/2023 12:51:16,"-22.980746,-43.235640",-22.980746,-43.23564
27/04/2023 12:51:26,"-22.980729,-43.235591",-22.980729,-43.235591
27/04/2023 12:51:36,"-22.980713,-43.235587",-22.980713,-43.235587
27/04/2023 12:51:46,"-22.980708,-43.235559",-22.980708,-43.235559
27/04/2023 12:51:56,"-22.980693,-43.235545",-22.980693,-43.235545
27/04/2023 12:52:06,"-22.980725,-43.235503",-22.980725,-43.235503
27/04/2023 12:52:11,"-22.980750,-43.235476",-22.98075,-43.235476
27/04/2023 12:52:12,"-22.980760,-43.235463",-22.98076,-43.235463
27/04/2023 12:52:16,"-22.980777,-43.235451",-22.980777,-43.235451
27/04/2023 12:52:22,"-22.980784,-43.235474",-22.980784,-43.235474
27/04/2023 12:52:23,"-22.980795,-43.235485",-22.980795,-43.235485
27/04/2023 12:52:26,"-22.980803,-43.235501",-22.980803,-43.235501
27/04/2023 12:52:35,"-22.980788,-43.235528",-22.980788,-43.235528
27/04/2023 12:52:36,"-22.980782,-43.235540",-22.980782,-43.23554
27/04/2023 12:52:46,"-22.980756,-43.235547",-22.980756,-43.235547
27/04/2023 12:52:46,"-22.980756,-43.235547",-22.980756,-43.235547
27/04/2023 12:52:48,"-22.980745,-43.235527",-22.980745,-43.235527
27/04/2023 12:52:49,"-22.980737,-43.235515",-22.980737,-43.235515
27/04/2023 12:52:55,"-22.980730,-43.235481",-22.98073,-43.235481
27/04/2023 12:52:56,"-22.980733,-43.235472",-22.980733,-43.235472
27/04/2023 12:53:00,"-22.980740,-43.235450",-22.98074,-43.23545
27/04/2023 12:53:05,"-22.980766,-43.235431",-22.980766,-43.235431
27/04/2023 12:53:06,"-22.980773,-43.235430",-22.980773,-43.23543
27/04/2023 12:53:16,"-22.980791,-43.235410",-22.980791,-43.23541
27/04/2023 12:53:25,"-22.980784,-43.235388",-22.980784,-43.235388
27/04/2023 12:53:26,"-22.980782,-43.235381",-22.980782,-43.235381
27/04/2023 12:53:30,"-22.980757,-43.235401",-22.980757,-43.235401
27/04/2023 12:53:35,"-22.980759,-43.235387",-22.980759,-43.235387
27/04/2023 12:53:36,"-22.980763,-43.235381",-22.980763,-43.235381
27/04/2023 12:53:45,"-22.980808,-43.235376",-22.980808,-43.235376
27/04/2023 12:53:46,"-22.980813,-43.235379",-22.980813,-43.235379
27/04/2023 12:53:50,"-22.980828,-43.235396",-22.980828,-43.235396
27/04/2023 12:53:56,"-22.980825,-43.235403",-22.980825,-43.235403
27/04/2023 12:54:03,"-22.980840,-43.235407",-22.98084,-43.235407
27/04/2023 12:54:06,"-22.980838,-43.235405",-22.980838,-43.235405
27/04/2023 12:54:10,"-22.980837,-43.235404",-22.980837,-43.235404
27/04/2023 12:54:15,"-22.980834,-43.235351",-22.980834,-43.235351
27/04/2023 12:54:16,"-22.980835,-43.235341",-22.980835,-43.235341
27/04/2023 12:54:20,"-22.980820,-43.235309",-22.98082,-43.235309
27/04/2023 12:54:26,"-22.980800,-43.235304",-22.9808,-43.235304
27/04/2023 12:54:28,"-22.980788,-43.235317",-22.980788,-43.235317
27/04/2023 12:54:29,"-22.980780,-43.235331",-22.98078,-43.235331
27/04/2023 12:54:30,"-22.980777,-43.235341",-22.980777,-43.235341
27/04/2023 12:54:35,"-22.980798,-43.235372",-22.980798,-43.235372
27/04/2023 12:54:36,"-22.980802,-43.235373",-22.980802,-43.235373
27/04/2023 12:54:40,"-22.980799,-43.235380",-22.980799,-43.23538
27/04/2023 12:54:45,"-22.980793,-43.235390",-22.980793,-43.23539
27/04/2023 12:54:46,"-22.980789,-43.235385",-22.980789,-43.235385
